"ID","EffTimestampUTC","ASIN","Brand","ListPrice","ListPriceCd","LowestNewPrice","LowestNewPriceCd","LowestUsedPrice","LowestUsedPriceCd","LowestRefurbPrice","LowestRefurbPriceCd","Manufacturer","Model","MPN","NumberOfItems","PackageQuantity","PartNumber","ProductTypeName","Title","UPC","Warranty"
138,1532797363,"B01MQU72O9","Corsair",8252,"USD",8252,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F120GBMP500","CSSD-F120GBMP500",1,1,"CSSD-F120GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 120GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096713","3 Years"
139,1532797372,"B01N4C44VN","Corsair",14599,"USD",10199,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F240GBMP500","CSSD-F240GBMP500",NA,1,"CSSD-F240GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 240GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096720","3 Years"
140,1532883630,"B078G1VHYN","NVIDIA",358799,"USD",280000,"USD",50000,"USD",NA,NA,"NVIDIA",NA,"900-1G500-2500-000",NA,1,"900-1G500-2500-000","VIDEO_CARD","NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD","812674021416",NA
141,1532883654,"B01BCDK1KC","Lambda",NA,NA,1425600,"USD",50000,"USD",NA,NA,"Lambda Labs, Inc.","DBM-V3","DB-3",NA,NA,"DB-3","PERSONAL_COMPUTER","Lambda Deep Learning DevBox - with NVIDIA DIGITS - 4x NVIDIA GTX TITAN X 12GB GPUs - Preinstalled with Ubuntu 14.04 LTS, CUDA, Caffe, Torch, and CuDNN","694263972749",NA
142,1532883682,"B07C9H8MHD","Western Digital",11999,"USD",10863,"USD",NA,NA,NA,NA,"WD","WDS250G2X0C","WDS250G2X0C",NA,1,"WDS250G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 250GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS250G2X0C","718037859057",NA
143,1532883691,"B07BRCLMTS","Western Digital",44999,"USD",39020,"USD",NA,NA,NA,NA,"WD","WDS100T2X0C","WDS100T2X0C",NA,1,"WDS100T2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 1TB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS100T2X0C","718037859064",NA
144,1532883725,"B07BYHGNB5","Samsung",49999,"USD",44999,"USD",40499,"USD",69977,"USD","Samsung Electronics DAV","MZ-V7P1T0BW","MZ-V7P1T0BW",1,1,"MZ-V7P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD Black/Red (MZ-V7P1T0BW)","887276261928","5-Year Limited Warranty"
145,1532883762,"B01LXS4TYB","Samsung",28729,"USD",28338,"USD",17900,"USD",18900,"USD","Samsung IT","MZ-V6P512BW","MZ-V6P512BW",1,1,"MZ-V6P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO NVMe M.2 512GB SSD (MZ-V6P512BW)","887276185316","5 Years/400TBW"
146,1532883795,"B01MQU72O9","Corsair",8252,"USD",8250,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F120GBMP500","CSSD-F120GBMP500",1,1,"CSSD-F120GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 120GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096713","3 Years"
147,1532883811,"B01N4C44VN","Corsair",14599,"USD",12389,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F240GBMP500","CSSD-F240GBMP500",NA,1,"CSSD-F240GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 240GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096720","3 Years"
